Category,Title,Description/Topics
Book,Fundamentals of Aerospace Navigation and Guidance,"Coordinate systems; Navigation sensors; INS; GPS; Kalman filtering; Guidance principles; Best for beginners with an engineering background"
Book,Aircraft Control and Simulation,"Aircraft dynamics; Stability; State-space models; Autopilots; Flight control systems"
Book,Spacecraft Dynamics and Control: An Introduction,"Orbital mechanics; Attitude dynamics; Reaction wheels; Star trackers; Spacecraft guidance"
Book,Optimal Control and Estimation,"Optimal control; Kalman filtering; LQR; Estimation; Guidance laws"
Book,Small Unmanned Aircraft: Theory and Practice,"UAV modelling; Path following; Waypoint navigation; State estimation; Autopilot design"
Book,Probabilistic Robotics,"Localization; SLAM; Particle filters; Kalman filters; Sensor fusion"
Book,Optimal Control Theory: An Introduction,"Foundational text for advanced guidance algorithms"
University Course,MIT OpenCourseWare,"Feedback Control; Aircraft Systems Engineering; Underactuated Robotics; Estimation"
University Course,Stanford Engineering Everywhere,"Control Systems; Linear Dynamical Systems"
University Course,Carnegie Mellon Robotics Institute,"Robot navigation; Motion planning; State estimation"
YouTube,MIT OpenCourseWare YouTube,"Linear control; Estimation; Robotics; Aerospace"
YouTube,Steve Brunton,"Control theory; State-space systems; Kalman filters; Model Predictive Control (MPC); Data-driven control"
YouTube,Brian Douglas,"PID control; Root locus; Frequency response; State-space methods"
YouTube,MATLAB YouTube,"Simulink; Control System Toolbox; UAV simulations; Kalman filters"
YouTube,NASA YouTube,"Spacecraft GNC; Mars missions; Orion; Guidance algorithms"
Blog / Documentation,PX4 Developer Guide,"Practical guidance and control implementation for drones"
Blog / Documentation,ArduPilot Documentation,"Navigation; Mission planning; Estimation; Autopilot concepts"
Blog / Documentation,ROS Documentation,"Navigation; Localisation; Robotics software"
Blog / Documentation,Control Tutorials for MATLAB and Simulink (University of Michigan),"Classical and modern control tutorials"
Online Course,Coursera,"Control of Mobile Robots; Modern Robotics; State Estimation"
Online Course,edX,"Control systems; Aerospace engineering; Robotics"
Online Course,Udacity,"Self-driving car; Robotics; Autonomous systems"
Software,MATLAB/Simulink,"Classical aerospace GNC"
Software,"Python (NumPy, SciPy, python-control)","Simulations and control algorithms"
Software,ROS 2,"Robotics applications"
Software,PX4 SITL and Gazebo,"UAV simulation"
Software,GMAT and Orekit,"Orbital mechanics; Spacecraft navigation"
Learning Path,"Mathematical Foundations","Refresh linear algebra; Differential equations; Classical mechanics"
Learning Path,"Feedback Control","PID; Root locus; Frequency response; State-space"
Learning Path,"Estimation","Kalman Filter; Extended Kalman Filter (EKF); Unscented Kalman Filter (UKF)"
Learning Path,"Navigation","GNSS; Inertial navigation; Sensor fusion; SLAM"
Learning Path,"Guidance","Waypoint following; Path planning; Pursuit guidance; Optimal guidance"
Learning Path,"Control","LQR; MPC; Nonlinear control; Adaptive control"
Project,Quadcopter Autopilot,"Build a quadcopter autopilot"
Project,Missile or Rocket Guidance Simulation,"Implement guidance simulation"
Project,Spacecraft Attitude Control,"Develop spacecraft attitude controller"
Project,Autonomous Ground Robot,"Build an autonomous robot with navigation"
Project,Satellite Orbit Propagation and Station Keeping,"Implement orbit propagation and station keeping"
